ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0014074,response to purine-containing compound,13/515,124/13235,0.10483870967741936,2.6942530535546507,3.813966156173066,0.001069849010744097,0.036300442086291004,0.03365740091466783,Pklr/Srebf1/Ass1/Cps1/Fbp1/Itpr2/Gstm7/P2ry1/Pik3r1/Itpr1/Slc8a3/Cad/Eef2k,13
GO:0005977,glycogen metabolic process,10/515,81/13235,0.12345679012345678,3.1727196452115547,3.9465981308277,0.001145584558812612,0.038535094383507,0.03572934780979081,Pygl/Ppp1r3b/Khk/Gck/Lepr/Slc37a4/Ugp2/Gnmt/Pfkm/Gys2,10
GO:0009068,aspartate family amino acid catabolic process,4/515,13/13235,0.3076923076923077,7.90739357729649,5.01352201350494,0.0012238710911240652,0.04079855066384716,0.037828001465278996,Got1/Sds/Sdsl/Gcat,4
GO:0046032,ADP catabolic process,11/515,96/13235,0.11458333333333333,2.9446804207119737,3.847763104146769,0.0012337849765079356,0.04079855066384716,0.037828001465278996,Gpi1/Pklr/Tkfc/Aldob/Khk/Gck/Fbp1/Foxk2/Pfkfb3/Pfkm/Ddit4,11
GO:0045721,negative regulation of gluconeogenesis,5/515,22/13235,0.22727272727272727,5.840688437775817,4.572180613723409,0.0013290381526355295,0.043579049341040635,0.04040605157548267,Gck/Lepr/Serpina12/Pgp/Mup3,5
GO:0019364,pyridine nucleotide catabolic process,11/515,97/13235,0.1134020618556701,2.9143228906015413,3.8075187865772153,0.0013439993858155022,0.04370238002876741,0.040520402535507725,Gpi1/Pklr/Tkfc/Aldob/Khk/Gck/Fbp1/Foxk2/Pfkfb3/Pfkm/Ddit4,11
GO:0044042,glucan metabolic process,10/515,83/13235,0.12048192771084337,3.0962685694233243,3.8547453468144415,0.0013843190225149998,0.04464142831283909,0.04139107855923493,Pygl/Ppp1r3b/Khk/Gck/Lepr/Slc37a4/Ugp2/Gnmt/Pfkm/Gys2,10
GO:0071320,cellular response to cAMP,7/515,44/13235,0.1590909090909091,4.0884819064430715,4.128936116912902,0.0014222750614524046,0.04548948598186297,0.04217738900959374,Ass1/Cps1/Fbp1/Itpr2/Itpr1/Slc8a3/Eef2k,7
GO:0070372,regulation of ERK1 and ERK2 cascade,20/515,245/13235,0.08163265306122448,2.097879928670497,3.490108561361828,0.0014560214070606986,0.046190207563828016,0.042827090937677545,Vegfb/C1ql4/Mfhas1/Pde8a/Slc30a10/Nelfe/Inhba/Mif/Kdr/Fgb/P2ry1/Hmgcr/Gstp3/Klf4/Gcnt2/Gstp1/Nox4/Tff2/Tiam1/Fn1,20
GO:0009072,aromatic amino acid metabolic process,6/515,33/13235,0.18181818181818182,4.672550750220654,4.25021143765214,0.0015240306259880997,0.04757414002084452,0.04411025904438819,Acmsd/Hgd/Dct/Qdpr/Pah/Haao,6
GO:0036314,response to sterol,6/515,33/13235,0.18181818181818182,4.672550750220654,4.25021143765214,0.0015240306259880997,0.04757414002084452,0.04411025904438819,Insig1/F7/Inhba/Ces1c/Gpr155/Pmvk,6
GO:0009137,purine nucleoside diphosphate catabolic process,11/515,99/13235,0.1111111111111111,2.855447680690399,3.7285533724871733,0.001588716349001338,0.04881237160474977,0.04525833478257438,Gpi1/Pklr/Tkfc/Aldob/Khk/Gck/Fbp1/Foxk2/Pfkfb3/Pfkm/Ddit4,11
GO:0009181,purine ribonucleoside diphosphate catabolic process,11/515,99/13235,0.1111111111111111,2.855447680690399,3.7285533724871733,0.001588716349001338,0.04881237160474977,0.04525833478257438,Gpi1/Pklr/Tkfc/Aldob/Khk/Gck/Fbp1/Foxk2/Pfkfb3/Pfkm/Ddit4,11
GO:0032868,response to insulin,21/515,265/13235,0.07924528301886792,2.0365268364169262,3.4295656738097833,0.0016211418010357466,0.0491031527429704,0.045527944098192365,Pklr/Srebf1/Khk/Gck/Gpam/Fbp1/Got1/Insig1/Slc2a4/Lpin1/Esrra/Serpina12/Rps6/Ahsg/Pik3r1/Gstp1/Cela2a/Cad/Pcsk9/Eef2k/Mup3,21
GO:0090181,regulation of cholesterol metabolic process,7/515,45/13235,0.15555555555555556,3.997626752966559,4.05291074098163,0.0016288331024722654,0.0491031527429704,0.045527944098192365,Srebf1/Ttc39b/Dgat2/Ces1c/Serpina12/3110082I17Rik/Stard4,7
GO:1902221,erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process,5/515,23/13235,0.21739130434782608,5.586745462220346,4.429858963341415,0.0016445317932446525,0.0491031527429704,0.045527944098192365,Hgd/Dct/Qdpr/Pah/Haao,5
GO:0170041,non-proteinogenic amino acid metabolic process,9/515,71/13235,0.1267605633802817,3.257623410365103,3.837888571879606,0.0016587706696303954,0.0491031527429704,0.045527944098192365,Ass1/Cps1/Pcmt1/Ero1b/Cbs/Gnmt/Asl/Nox4/Cad,9
GO:0007271,"synaptic transmission, cholinergic",4/515,14/13235,0.2857142857142857,7.34257975034674,4.777530033677165,0.0016611010153952056,0.0491031527429704,0.045527944098192365,Chrna4/Chrnb2/Camk2b/Ric3,4
GO:0070371,ERK1 and ERK2 cascade,21/515,266/13235,0.07894736842105263,2.0288707204905463,3.4107823385940743,0.0016980433255991433,0.04981778237960795,0.04619054143319554,Vegfb/C1ql4/Mfhas1/Pde8a/Slc30a10/Nelfe/Wnk4/Inhba/Mif/Kdr/Fgb/P2ry1/Hmgcr/Gstp3/Klf4/Gcnt2/Gstp1/Nox4/Tff2/Tiam1/Fn1,21
