ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0044242,cellular lipid catabolic process,42/957,203/13235,0.20689655172413793,2.8613122905631823,7.461041367063649,3.867240691671585e-10,1.7272503198347724e-7,1.5872340025434862e-7,Acaa1b/Crat/Crot/Hsd17b4/Etfdh/Acad12/Acox1/Acat1/Fgf21/Abhd2/Decr1/Acadm/Pla2g6/Eci1/Decr2/Hadhb/Ech1/Hexa/Acad10/Ehhadh/Apoa4/Abcd2/Hadh/Acaa1a/Acadl/Acox2/Lonp2/Psap/Eci2/Hadha/Slc27a2/Hexb/Acot8/Cpt1b/Acads/Cpt2/Cpt1a/Abhd6/Lipe/Smpd3/Hao2/Cyp1b1,42
GO:0006577,amino-acid betaine metabolic process,11/957,17/13235,0.6470588235294118,8.948613928329953,9.155260580030856,2.2073123573769078e-9,9.037104676493957e-7,8.304528684903121e-7,Slc22a5/Crat/Crot/Acadm/Bhmt/Bhmt1b/Acadl/Cpt1b/Cpt2/Cpt1a/Aldh9a1,11
GO:0030258,lipid modification,37/957,178/13235,0.20786516853932585,2.8747079473542088,7.030069832974342,3.7634328853602765e-9,1.422288135828849e-6,1.3069930077174273e-6,Acaa1b/Crat/Crot/Hsd17b4/Etfdh/Acad12/Acox1/Acat1/Decr1/Acadm/Pparg/Eci1/Hadhb/Ech1/Acad10/Ehhadh/Abcd2/Hadh/Acaa1a/Acadl/Acox2/Lonp2/Sirt4/Gdf15/Eci2/Hadha/Slc27a2/Dgkh/Cpt1b/Acads/Cpt2/Cpt1a/Pdk4/Agk/Ephx2/Hao2/Synj2,37
GO:0009437,carnitine metabolic process,9/957,12/13235,0.75,10.372257053291536,9.067916974253938,9.399085109435551e-9,3.298407510189776e-6,3.031028273260833e-6,Slc22a5/Crat/Crot/Acadm/Acadl/Cpt1b/Cpt2/Cpt1a/Aldh9a1,9
GO:0044282,small molecule catabolic process,54/957,330/13235,0.16363636363636364,2.2630379025363347,6.486823308109914,1.062267698002282e-8,3.4792808001901412e-6,3.197239408232833e-6,Acaa1b/Aldh1a7/Ppm1k/Crat/Crot/Hsd17b4/Etfdh/Acad12/Acox1/Acat1/Aldh1a1/Abhd2/Decr1/Acot4/Acadm/Agxt2/Eci1/Decr2/Adhfe1/Hadhb/Ech1/Acsf3/Hexa/Acad10/Ehhadh/Hsd3b7/Abcd2/Hadh/Gk/Acaa1a/Acadl/Acox2/Lonp2/Hmgcl/Eci2/Hadha/Amt/Slc27a2/Hexb/Acot8/Cpt1b/Nagk/Ddah1/Acads/Cpt2/Cpt1a/Lipe/Gnpda1/Sult1b1/Abat/Hao2/Aadat/Cda/Synj2,54
GO:0006790,sulfur compound metabolic process,48/957,299/13235,0.1605351170568562,2.2201486669252786,5.957801919162724,1.2837315675103806e-7,3.941858244486563e-5,3.62231887700791e-5,Vnn1/Acot2/Crot/Acot1/Hsd17b4/Fitm2/Acat1/Gpc1/Acot4/Gsta2/Slc25a42/Sulf2/Stat5a/Hmgcs2/Acot3/Suclg2/Acsl1/Hexa/Bhmt/Ehhadh/Acsm3/Bhmt1b/Acot6/Gsta1/Mpc1/Hmgcl/Hmgcs1/Tpk1/Mthfr/Hexb/Acot8/Ugdh/Suox/Gpx1/Elovl7/Pdk4/Hpgds/Sult5a1/Sult1b1/Gsta4/Arsg/Xylt1/Gclc/Gstm4/Gstt2/Acot9/Aadat/Sulf1,48
GO:0030198,extracellular matrix organization,42/957,247/13235,0.1700404858299595,2.3516048379932224,5.98638706487218,1.5723635486920364e-7,3.9495896857909736e-5,3.629423583480452e-5,Lamb3/Mmp12/Pparg/Sulf2/Ccn1/Antxr2/Loxl2/Hsd17b12/Ccdc80/Col3a1/Adamts1/Col1a2/Mmp13/Serpinh1/Col6a1/Col4a1/Col4a2/Postn/Fermt1/Col1a1/Smpd3/Adamts5/Plod2/Mmp2/Fkbp10/Col5a1/Anxa2/Col16a1/Chadl/Adamts12/Fbln5/Col5a2/Matn2/Lgals3/Nfkb2/Sulf1/Cyp1b1/Phldb1/Adamts9/Kif9/Adamts2/Col4a5,42
GO:0043062,extracellular structure organization,42/957,247/13235,0.1700404858299595,2.3516048379932224,5.98638706487218,1.5723635486920364e-7,3.9495896857909736e-5,3.629423583480452e-5,Lamb3/Mmp12/Pparg/Sulf2/Ccn1/Antxr2/Loxl2/Hsd17b12/Ccdc80/Col3a1/Adamts1/Col1a2/Mmp13/Serpinh1/Col6a1/Col4a1/Col4a2/Postn/Fermt1/Col1a1/Smpd3/Adamts5/Plod2/Mmp2/Fkbp10/Col5a1/Anxa2/Col16a1/Chadl/Adamts12/Fbln5/Col5a2/Matn2/Lgals3/Nfkb2/Sulf1/Cyp1b1/Phldb1/Adamts9/Kif9/Adamts2/Col4a5,42
GO:0045229,external encapsulating structure organization,42/957,247/13235,0.1700404858299595,2.3516048379932224,5.98638706487218,1.5723635486920364e-7,3.9495896857909736e-5,3.629423583480452e-5,Lamb3/Mmp12/Pparg/Sulf2/Ccn1/Antxr2/Loxl2/Hsd17b12/Ccdc80/Col3a1/Adamts1/Col1a2/Mmp13/Serpinh1/Col6a1/Col4a1/Col4a2/Postn/Fermt1/Col1a1/Smpd3/Adamts5/Plod2/Mmp2/Fkbp10/Col5a1/Anxa2/Col16a1/Chadl/Adamts12/Fbln5/Col5a2/Matn2/Lgals3/Nfkb2/Sulf1/Cyp1b1/Phldb1/Adamts9/Kif9/Adamts2/Col4a5,42
GO:0035634,response to stilbenoid,11/957,23/13235,0.4782608695652174,6.614192903548226,7.5232360051660985,1.6078117996299504e-7,3.9495896857909736e-5,3.629423583480452e-5,Cd36/Cyp2b9/Cidea/Gsta2/Apoa4/Gsta1/Saa2/Ly6d/Cyp2a4/Saa3/Usp18,11
GO:0000038,very long-chain fatty acid metabolic process,12/957,29/13235,0.41379310344827586,5.7226245811263645,7.1077884813051035,3.1273011280431147e-7,7.316395448607535e-5,6.723305532920762e-5,Acaa1b/Acot2/Hsd17b4/Acox1/Acot4/Acot3/Acsl1/Abcd2/Acaa1a/Acox2/Slc27a2/Elovl7,12
GO:0006637,acyl-CoA metabolic process,22/957,91/13235,0.24175824175824176,3.3434381710243777,6.262505785695289,3.6067638666930864e-7,7.704361250897014e-5,7.079821612927528e-5,Acot2/Acot1/Hsd17b4/Fitm2/Acat1/Acot4/Hmgcs2/Acot3/Suclg2/Acsl1/Ehhadh/Acsm3/Acot6/Mpc1/Hmgcl/Hmgcs1/Tpk1/Acot8/Elovl7/Pdk4/Acot9/Aadat,22
GO:0035383,thioester metabolic process,22/957,91/13235,0.24175824175824176,3.3434381710243777,6.262505785695289,3.6067638666930864e-7,7.704361250897014e-5,7.079821612927528e-5,Acot2/Acot1/Hsd17b4/Fitm2/Acat1/Acot4/Hmgcs2/Acot3/Suclg2/Acsl1/Ehhadh/Acsm3/Acot6/Mpc1/Hmgcl/Hmgcs1/Tpk1/Acot8/Elovl7/Pdk4/Acot9/Aadat,22
GO:0030199,collagen fibril organization,16/957,54/13235,0.2962962962962963,4.097681798831224,6.367914496279347,7.591831086300964e-7,1.55411108862486e-4,1.428129979348458e-4,Antxr2/Loxl2/Col3a1/Col1a2/Serpinh1/Col6a1/Col1a1/Plod2/Fkbp10/Col5a1/Anxa2/Chadl/Adamts12/Col5a2/Cyp1b1/Adamts2,16
GO:0006575,cellular modified amino acid metabolic process,30/957,162/13235,0.18518518518518517,2.5610511242695146,5.581163207670581,1.516340414938412e-6,2.9799121834369675e-4,2.7383511745982523e-4,Vnn1/Slc22a5/Crat/Crot/Serinc2/Slc27a1/Acadm/Agxt2/Gsta2/Bhmt/Bhmt1b/Gsta1/Acadl/Mthfr/Cpt1b/Cpt2/Gpx1/Cpt1a/Vnn3/Dio1/Hpgds/Aldh9a1/Plod2/Sult1b1/Gsta4/Pcyox1l/Gclc/Gstm4/Gstt2/Slc16a2,30
GO:0009410,response to xenobiotic stimulus,52/957,369/13235,0.14092140921409213,1.9488974409075333,5.161172854985966,2.450104203892774e-6,4.629754597586615e-4,4.2544521985814204e-4,Acaa1b/Cyp2b9/Crot/Plin2/Nceh1/Aldh1a1/Gsta2/Aox1/Hmgcs2/Acsl1/Cyp2a22/Hadh/Acaa1a/Gsta1/Cyp2b13/Jun/Nqo1/Ccl2/Serpine1/Ccnd1/Hadha/Cyp2c38/Rogdi/Cyp2c39/Adra1a/Serpina7/Abcb1a/Gpx1/Mas1/Cpt1a/Ntrk1/Col6a1/Lcn2/Gabrb3/Txnip/Col1a1/Cyp2a4/Fosb/Mmp2/Sult1b1/Gsta4/Gclc/Gstm4/Abat/Ankrd1/Cdk1/Ccl4/Vegfc/Rad54b/Cyp1b1/Slamf8/Myc,52
GO:0043603,amide metabolic process,54/957,391/13235,0.13810741687979539,1.9099808384577763,5.099272222485362,2.9226452297882563e-6,5.318131857018409e-4,4.887027442714165e-4,Vnn1/Acot2/Crot/Acot1/Hsd17b4/Fitm2/Rtn4/Acat1/Acot4/Gsta2/Slc25a42/Pla2g6/Degs1l/Hmgcs2/Acot3/Suclg2/Acsl1/Hexa/Ehhadh/Acsm3/Acot6/Gal3st1/Gsta1/Mpc1/Hmgcl/Hmgcs1/Ccn1/Psap/Tpk1/Hexb/Acot8/Nagk/Sptlc3/Gpx1/Gnpda1/Vnn3/Pcsk6/Elovl7/Bace1/Pdk4/Smpd3/Hpgds/Agk/Gsta4/Cers6/Gclc/Gstm4/Gstt2/Sphk1/Acot9/Aadat/Cln6/Cyp4f39/Cerk,54
GO:0033559,unsaturated fatty acid metabolic process,24/957,121/13235,0.19834710743801653,2.743076245498588,5.377484898164314,4.8770698092866075e-6,8.557515704651822e-4,7.863816696251978e-4,Cyp4a14/Cyp2b9/Cyp4a10/Cyp4a31/Cyp4a32/Acox1/Decr2/Ephx1/Cyp2a22/Abcd2/Gsta1/Cyp2b13/Mgst3/Cyp2c38/Cyp2c39/Gpx1/Elovl7/Hpgds/Ces2e/Cyp2a4/Ephx2/Ces2c/Sphk1/Cyp1b1,24
GO:0051791,medium-chain fatty acid metabolic process,9/957,21/13235,0.42857142857142855,5.927004030452306,6.308311541393688,6.910295629479401e-6,0.0011706993940562862,0.0010757988368361943,Cyp4a14/Cyp4a10/Crat/Cyp4a31/Cyp4a32/Crot/Abhd2/Acadm/Ces1g,9
GO:0001101,response to acid chemical,25/957,133/13235,0.18796992481203006,2.5995631712510114,5.176022299739234,8.469572370660553e-6,0.0013870336352351767,0.0012745963472899338,Krt8/S100a10/Hmgcs2/Nqo1/Ccl2/Col3a1/Col1a2/Cpeb1/Abcb1a/Grin3b/Ntrk1/Col6a1/Col4a1/Lrp11/Col1a1/Castor2/Pdgfc/Cpeb4/Mmp2/Anxa2/Col16a1/Gclc/Ces2c/Col5a2/Rragd,25
GO:0015718,monocarboxylic acid transport,24/957,131/13235,0.183206106870229,2.533681112254421,4.92500294218409,1.9965385716143215e-5,0.003164191613658439,0.002907692337403676,Cd36/Cyp4a10/Cyp4a31/Cyp4a32/Crot/Slc27a1/Plin2/Ucp2/Abcb4/Fabp2/Pla2g6/Pparg/Abcc3/Abcg2/Acsl1/Abcd2/Ces1g/Mpc1/Slc27a2/Slc16a7/Cpt1b/Thbs1/Fabp7/Myc,24
GO:0019369,arachidonate metabolic process,15/957,61/13235,0.2459016393442623,3.4007400174726348,5.246732699657421,2.082092412945387e-5,0.0031966625077502146,0.00293753103918512,Cyp4a14/Cyp2b9/Cyp4a10/Cyp4a31/Cyp4a32/Ephx1/Cyp2a22/Cyp2b13/Mgst3/Cyp2c38/Cyp2c39/Gpx1/Cyp2a4/Sphk1/Cyp1b1,15
GO:0071229,cellular response to acid chemical,19/957,91/13235,0.2087912087912088,2.887514784066508,5.04411526702871,2.185556552629809e-5,0.003198690670255755,0.0029393947924897285,S100a10/Hmgcs2/Col3a1/Col1a2/Cpeb1/Abcb1a/Grin3b/Col6a1/Col4a1/Col1a1/Castor2/Pdgfc/Cpeb4/Mmp2/Anxa2/Col16a1/Gclc/Col5a2/Rragd,19
