ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0051236,establishment of RNA localization,135,-0.33749061255636115,-1.5986171519743861,0.0021513939919530134,0.04497313639782017,0.03903385614036435,3388,"tags=33%, list=24%, signal=25%",110809/13680/231042/70579/72322/66231/192170/218210/13684/56488/268420/16549/19386/20926/214597/73666/235626/229279/19069/14359/72416/75826/223527/170762/234069/13211/20492/16211/72124/20383/21681/109095/170676/66874/226747/18141/67952/73473/22608/107939/234733/28114/69823/279706/73192
GO:0050821,protein stabilization,193,-0.29087632602369307,-1.4360815008877021,0.002156299201751474,0.04497313639782017,0.03903385614036435,2526,"tags=26%, list=18%, signal=22%",12539/338467/211924/66897/68943/226407/67072/22284/16145/11787/12469/53376/68453/56424/72344/233824/12465/18715/67025/19035/18148/108143/23988/11806/14433/65019/13542/252870/23992/70369/100503670/12017/11652/56274/20115/11933/280662/21372/21454/16000/22393/232430/67490/20602/68350/74838/68077/18708/69237/19211/11931
GO:0008211,glucocorticoid metabolic process,19,-0.6200380098789501,-1.8910988005127456,0.0021640752966803696,0.044974121969225254,0.03903471155440757,2019,"tags=58%, list=15%, signal=50%",12408/56424/17257/12156/11806/20845/12401/14815/13074/15483/11928
GO:0002819,regulation of adaptive immune response,192,0.3432813041098496,1.544259990777861,0.0021980288105424304,0.0455171873613751,0.039506058186861134,2962,"tags=32%, list=21%, signal=26%",16852/19368/379043/16453/68667/12479/13844/12520/83433/56644/105352/235587/56708/14990/52118/12772/64817/14129/21929/14727/332579/16643/74131/54721/16190/15216/58185/216799/11622/16952/14204/21926/21939/15170/11513/14728/12010/14998/17221/15510/60533/80859/56744/12480/15223/230738/18173/243910/18762/15024/105855/22376/12505/12775/71890/243864/14131/16197/63953/14964/16149/19264
GO:0046349,amino sugar biosynthetic process,12,0.7214758718407284,1.8328557394821934,0.002214579958007536,0.045697307715056215,0.039662391334528396,2279,"tags=50%, list=16%, signal=42%",227620/109785/26384/67311/14584/94181
GO:0120254,olefinic compound metabolic process,143,0.36297585832917145,1.5669667718710336,0.00222250555571575,0.04569879798130724,0.039663684791981284,1877,"tags=25%, list=14%, signal=22%",13119/13094/13117/666168/100040843/67442/11668/13849/233005/13089/66447/13097/13098/13653/19683/28200/14775/16890/234673/13086/13850/23945/13085/234671/20698/13078/22417/625249/20280/67452/13110/241452/11622/116852/20851/66853
GO:1905153,regulation of membrane invagination,19,0.6452219312866149,1.8505279221437365,0.0022711147542825694,0.046533861813979824,0.04038846772071078,2820,"tags=53%, list=20%, signal=42%",12491/19016/229521/56792/83433/14129/217303/105855/216190/105722
GO:0044784,metaphase/anaphase transition of cell cycle,89,0.4096926674195476,1.6463206449399477,0.002306952307275457,0.04710229991591538,0.04088183627075768,3454,"tags=43%, list=25%, signal=32%",74335/68014/268697/332110/107995/56150/229841/66977/20877/59008/208628/70385/68612/76464/11799/18817/20586/12235/83797/52206/75430/214444/23834/22137/99152/22680/77045/66442/20587/70799/67052/12236/12704/68501/67141/21335/235661/52276
GO:0032305,positive regulation of icosanoid secretion,16,0.6573141304391169,1.7934816973827832,0.002327745522732035,0.04736066852020179,0.041106083982584855,114,"tags=25%, list=1%, signal=25%",13117/666168/100040843/53357
GO:0032527,protein exit from endoplasmic reticulum,42,-0.47400409307417585,-1.7598309160064682,0.0023799293544055217,0.0480861420600199,0.04173574942411437,4314,"tags=60%, list=31%, signal=41%",27061/70297/75744/22027/22213/66212/109815/216440/338320/238257/226418/217365/67819/20338/66753/57785/11993/56228/108687/14950/68889/69981/192193/231070/116891
